134,v-component of wind [m/s],20000[Pa] ISBL="Isobaric surface"
135,Absolute vorticity [1/s],20000[Pa] ISBL="Isobaric surface"
136,Cloud mixing ratio [kg/kg],20000[Pa] ISBL="Isobaric surface"
137,Ice water mixing ratio [kg/kg],20000[Pa] ISBL="Isobaric surface"
138,Rain mixing ratio [kg/kg],20000[Pa] ISBL="Isobaric surface"
139,Snow mixing ratio [kg/kg],20000[Pa] ISBL="Isobaric surface"
140,Graupel (snow pellets) [kg/kg],20000[Pa] ISBL="Isobaric surface"
141,Icing severity [-],20000[Pa] ISBL="Isobaric surface"
142,Ozone Mixing Ratio [kg/kg],20000[Pa] ISBL="Isobaric surface"
143,Geopotential height [gpm],25000[Pa] ISBL="Isobaric surface"
144,Temperature [C],25000[Pa] ISBL="Isobaric surface"
145,Relative humidity [%],25000[Pa] ISBL="Isobaric surface"
146,Total cloud cover [%],25000[Pa] ISBL="Isobaric surface"
147,Vertical velocity (pressure) [Pa/s],25000[Pa] ISBL="Isobaric surface"
148,Verical velocity (geometric) [m/s],25000[Pa] ISBL="Isobaric surface"
149,u-component of wind [m/s],25000[Pa] ISBL="Isobaric surface"
150,v-component of wind [m/s],25000[Pa] ISBL="Isobaric surface"
151,Absolute vorticity [1/s],25000[Pa] ISBL="Isobaric surface"
152,Cloud mixing ratio [kg/kg],25000[Pa] ISBL="Isobaric surface"
153,Ice water mixing ratio [kg/kg],25000[Pa] ISBL="Isobaric surface"
154,Rain mixing ratio [kg/kg],25000[Pa] ISBL="Isobaric surface"
155,Snow mixing ratio [kg/kg],25000[Pa] ISBL="Isobaric surface"
156,Graupel (snow pellets) [kg/kg],25000[Pa] ISBL="Isobaric surface"
157,Icing severity [-],25000[Pa] ISBL="Isobaric surface"
158,Ozone Mixing Ratio [kg/kg],25000[Pa] ISBL="Isobaric surface"
159,Geopotential height [gpm],30000[Pa] ISBL="Isobaric surface"
160,Temperature [C],30000[Pa] ISBL="Isobaric surface"
161,Relative humidity [%],30000[Pa] ISBL="Isobaric surface"
162,Total cloud cover [%],30000[Pa] ISBL="Isobaric surface"
163,Vertical velocity (pressure) [Pa/s],30000[Pa] ISBL="Isobaric surface"
164,Verical velocity (geometric) [m/s],30000[Pa] ISBL="Isobaric surface"
165,u-component of wind [m/s],30000[Pa] ISBL="Isobaric surface"
166,v-component of wind [m/s],30000[Pa] ISBL="Isobaric surface"
167,Absolute vorticity [1/s],30000[Pa] ISBL="Isobaric surface"
168,Cloud mixing ratio [kg/kg],30000[Pa] ISBL="Isobaric surface"
169,Ice water mixing ratio [kg/kg],30000[Pa] ISBL="Isobaric surface"
170,Rain mixing ratio [kg/kg],30000[Pa] ISBL="Isobaric surface"
171,Snow mixing ratio [kg/kg],30000[Pa] ISBL="Isobaric surface"
172,Graupel (snow pellets) [kg/kg],30000[Pa] ISBL="Isobaric surface"
173,Icing severity [-],30000[Pa] ISBL="Isobaric surface"
174,Ozone Mixing Ratio [kg/kg],30000[Pa] ISBL="Isobaric surface"
175,Geopotential height [gpm],35000[Pa] ISBL="Isobaric surface"
176,Temperature [C],35000[Pa] ISBL="Isobaric surface"
177,Relative humidity [%],35000[Pa] ISBL="Isobaric surface"
178,Total cloud cover [%],35000[Pa] ISBL="Isobaric surface"
179,Vertical velocity (pressure) [Pa/s],35000[Pa] ISBL="Isobaric surface"
180,Verical velocity (geometric) [m/s],35000[Pa] ISBL="Isobaric surface"
181,u-component of wind [m/s],35000[Pa] ISBL="Isobaric surface"
182,v-component of wind [m/s],35000[Pa] ISBL="Isobaric surface"
183,Absolute vorticity [1/s],35000[Pa] ISBL="Isobaric surface"
184,Cloud mixing ratio [kg/kg],35000[Pa] ISBL="Isobaric surface"
185,Ice water mixing ratio [kg/kg],35000[Pa] ISBL="Isobaric surface"
186,Rain mixing ratio [kg/kg],35000[Pa] ISBL="Isobaric surface"
187,Snow mixing ratio [kg/kg],35000[Pa] ISBL="Isobaric surface"
188,Graupel (snow pellets) [kg/kg],35000[Pa] ISBL="Isobaric surface"
189,Icing severity [-],35000[Pa] ISBL="Isobaric surface"
190,Ozone Mixing Ratio [kg/kg],35000[Pa] ISBL="Isobaric surface"
191,Geopotential height [gpm],40000[Pa] ISBL="Isobaric surface"
192,Temperature [C],40000[Pa] ISBL="Isobaric surface"
193,Relative humidity [%],40000[Pa] ISBL="Isobaric surface"
194,Total cloud cover [%],40000[Pa] ISBL="Isobaric surface"
195,Vertical velocity (pressure) [Pa/s],40000[Pa] ISBL="Isobaric surface"
196,Verical velocity (geometric) [m/s],40000[Pa] ISBL="Isobaric surface"
197,u-component of wind [m/s],40000[Pa] ISBL="Isobaric surface"
198,v-component of wind [m/s],40000[Pa] ISBL="Isobaric surface"
199,Absolute vorticity [1/s],40000[Pa] ISBL="Isobaric surface"
200,Cloud mixing ratio [kg/kg],40000[Pa] ISBL="Isobaric surface"
201,Ice water mixing ratio [kg/kg],40000[Pa] ISBL="Isobaric surface"
202,Rain mixing ratio [kg/kg],40000[Pa] ISBL="Isobaric surface"
203,Snow mixing ratio [kg/kg],40000[Pa] ISBL="Isobaric surface"
204,Graupel (snow pellets) [kg/kg],40000[Pa] ISBL="Isobaric surface"
205,Icing severity [-],40000[Pa] ISBL="Isobaric surface"
206,Ozone Mixing Ratio [kg/kg],40000[Pa] ISBL="Isobaric surface"
207,Geopotential height [gpm],45000[Pa] ISBL="Isobaric surface"
208,Temperature [C],45000[Pa] ISBL="Isobaric surface"
209,Relative humidity [%],45000[Pa] ISBL="Isobaric surface"
210,Total cloud cover [%],45000[Pa] ISBL="Isobaric surface"
211,Vertical velocity (pressure) [Pa/s],45000[Pa] ISBL="Isobaric surface"
212,Verical velocity (geometric) [m/s],45000[Pa] ISBL="Isobaric surface"
213,u-component of wind [m/s],45000[Pa] ISBL="Isobaric surface"
214,v-component of wind [m/s],45000[Pa] ISBL="Isobaric surface"
215,Absolute vorticity [1/s],45000[Pa] ISBL="Isobaric surface"
216,Cloud mixing ratio [kg/kg],45000[Pa] ISBL="Isobaric surface"
217,Ice water mixing ratio [kg/kg],45000[Pa] ISBL="Isobaric surface"
218,Rain mixing ratio [kg/kg],45000[Pa] ISBL="Isobaric surface"
219,Snow mixing ratio [kg/kg],45000[Pa] ISBL="Isobaric surface"
220,Graupel (snow pellets) [kg/kg],45000[Pa] ISBL="Isobaric surface"
221,Icing severity [-],45000[Pa] ISBL="Isobaric surface"
222,Geopotential height [gpm],50000[Pa] ISBL="Isobaric surface"
223,Temperature [C],50000[Pa] ISBL="Isobaric surface"
224,Relative humidity [%],50000[Pa] ISBL="Isobaric surface"
225,Total cloud cover [%],50000[Pa] ISBL="Isobaric surface"
226,Vertical velocity (pressure) [Pa/s],50000[Pa] ISBL="Isobaric surface"
